iteration,gbest_fitness
0,111.79638888674492
1,72.96934663238028
2,72.96934663238028
3,66.33031520426002
4,56.10320570447627
5,47.774340733465394
6,40.80156039743582
7,29.244996168615415
8,24.620587206461977
9,22.494519570014646
10,22.27960857629874
11,22.27960857629874
12,21.99892102009956
13,20.426544975580185
14,19.849108092088912
15,18.726844489923394
16,17.684215638910956
17,17.12968525975603
18,16.914138726900717
19,16.616186858431078
20,16.378043948729598
21,16.302847962113233
22,16.222313474672475
23,16.13593610115342
24,16.117687904694833
25,16.07077299720187
26,16.035682882297948
27,16.007452285453624
28,15.993121547025368
29,15.988117532854133
30,15.965766687748896
