iteration,gbest_fitness
0,76.32415079214138
1,76.07942249678109
2,73.27274883233282
3,67.28006688289747
4,59.962211653040995
5,52.382454070195735
6,37.40959045443766
7,28.238617386867915
8,46.950765492903045
9,35.774515441434545
10,21.04927663412596
11,22.327569007464902
12,24.396833166284793
13,20.123228076551285
14,20.417319377385596
15,19.160235221272572
16,18.339601080242062
17,17.116501062793375
18,16.416206203869052
19,16.25106269357886
20,15.719309008392926
21,15.378867564564302
22,15.15574868159392
23,14.907433860607952
24,14.686571338437531
25,14.563681415078307
26,14.38195863000729
27,14.109821873258653
28,13.834604641821542
29,13.629009375232954
