iteration,gbest_fitness
0,102.95286667003938
1,82.50453206358672
2,73.89806943978408
3,73.89806943978408
4,64.49677710639149
5,54.569027892545655
6,54.28175425831612
7,48.85600083885358
8,32.84266292794646
9,29.995025878965947
10,29.995025878965947
11,29.278304763838207
12,26.48755412879359
13,26.192883209050393
14,23.267982111119863
15,22.1639156375754
16,21.256830273355632
17,19.99757965100838
18,18.435869052991833
19,17.861620621854442
20,17.60699919269028
21,16.95685820040164
22,16.850532214950974
23,16.589812031824806
24,16.332166651678577
25,16.28306522409791
26,16.24513668299106
27,16.18740219965767
28,16.1717791153807
29,16.12414998274221
30,16.077088314625314
