iteration,gbest_fitness
0,1017.1007001088421
1,325.9375175034113
2,84.07112102164649
3,44.67530769234647
4,33.676815688951336
5,30.24138191019545
6,24.821461480361894
7,20.59298336606262
8,19.892147504263743
9,16.806415816907055
10,15.55645708380945
11,13.664604452932434
12,13.547345159321733
13,13.234081149139094
14,12.827860813258159
15,12.58475960527254
16,12.412235638001254
17,12.23174888322545
18,12.040857648829709
19,11.828326969407975
20,11.64527267503081
21,11.508980687638473
22,11.391540079702672
23,11.26753585988763
24,11.19228967976992
25,11.137884677662802
26,11.116970534289505
27,11.111111446283635
28,11.10774920549536
29,11.102278688436257
30,11.096640421477593
