iteration,gbest_fitness
0,732.0414572228792
1,98.7760563192565
2,81.17065879404434
3,43.803875521960826
4,38.350022743923574
5,31.106397457067782
6,26.437839874748164
7,19.492732444157934
8,15.98458551438869
9,13.165198217274936
10,10.835835498289029
11,8.834113641117193
12,7.976476053049218
13,7.0240005372278045
14,6.16106755383702
15,5.579216463854641
16,5.131718653228729
17,4.929978231594004
18,4.8095749395373115
19,4.6928432756699685
20,4.592218742800881
21,4.522516163360285
22,4.453093574378209
23,4.411460245256217
24,4.38933011803106
25,4.370941333501116
26,4.359256357868137
27,4.350235993641224
28,4.346613541302146
29,4.344325901783438
30,4.34212680845905
