iteration,gbest_fitness
0,102.95286667003938
1,60.93002790880659
2,60.93002790880659
3,59.06729392340609
4,59.06729392340609
5,59.06729392340609
6,59.06729392340609
7,50.52309702178009
8,50.52309702178009
9,37.561597380396435
10,37.561597380396435
11,37.561597380396435
12,37.21193065946581
13,34.27283160576127
14,32.112129137720956
15,29.839452428647405
16,24.563533545864175
17,24.253951362177915
18,23.779581984383427
19,23.35512333850299
20,23.02619727331067
21,22.240954240657004
22,21.355111167233503
23,20.849479884113364
24,20.050213611759233
25,19.511013298052504
26,19.23201389044445
27,18.571964018282685
28,18.230299632583694
29,18.133891847266426
30,17.976381941560504
