iteration,gbest_fitness
0,0.07721201882106742
1,0.006321132225638704
2,0.042130907656812745
3,0.00397524578897478
4,0.0032803385929099727
5,0.00038522703670623693
6,0.0017965915275984558
7,0.00041573628568986656
8,0.00016185743836856002
9,6.377736682859534e-05
10,0.00015462206220189244
11,0.00013000233110658903
12,1.1230734348158728e-05
13,0.00010138064068150306
14,9.21032900373336e-05
15,1.6035637448947053e-05
16,1.781186277110564e-05
17,4.152538680972334e-06
18,4.152538680972334e-06
19,4.835540367956701e-06
20,4.689307789724893e-06
21,7.077952733250588e-07
22,1.8930352252249018e-07
23,2.979633343759588e-07
24,3.5965285549530954e-08
25,7.663093914606115e-08
26,9.7986813357021e-08
27,2.0747104637369985e-07
28,8.57179503822062e-09
29,5.9594003958942346e-08
30,8.57179503822062e-09
31,4.0275132242149225e-09
32,1.2478399117187299e-08
33,1.7496845236255673e-09
34,6.113824070518374e-10
35,7.773642321827079e-10
36,1.0288895751223959e-11
37,1.4455207384398534e-10
38,7.885267844834829e-11
39,7.885267844834829e-11
40,2.1558002673309707e-11
41,2.1143327180347952e-11
42,2.4615115803529266e-11
43,2.978360072634309e-11
44,4.535795124353052e-12
45,8.291692540822455e-12
46,4.631714398137317e-12
47,4.424285485150838e-12
48,5.026691244180627e-12
49,2.420748530929768e-12
50,2.759390579747742e-12
51,7.229091890120104e-13
52,1.2088168299469259e-13
53,2.0674093819482093e-13
54,1.4268490089156143e-12
55,6.8180134179122e-13
56,9.165288268221569e-14
57,2.4055073541216094e-13
58,1.6358025968330297e-14
59,5.21986330260519e-14
60,2.38381404436317e-14
61,4.2048912736524365e-14
62,7.005963412209801e-15
63,1.533841655563941e-15
64,1.533841655563941e-15
65,1.3411977549192133e-15
66,9.596924346283041e-16
67,9.596924346283041e-16
68,1.3411977549192133e-15
69,9.235528541990917e-16
70,3.2124478752662233e-16
71,6.175006945544143e-16
72,6.175006945544143e-16
73,6.705186878281512e-17
74,1.7197504352629841e-16
75,1.0998764857870464e-16
76,8.716677349490496e-17
77,2.5384446815744928e-17
78,6.2199979410149876e-18
79,1.936717565315008e-18
80,1.936717565315008e-18
81,2.2750453496715343e-18
82,1.6062960876539522e-17
83,3.5728214307235583e-19
84,1.5275118642331964e-18
85,5.853402125797608e-19
86,9.126819262261712e-19
87,1.1162489484640832e-18
88,3.5728214307235583e-19
89,6.165796877706633e-19
90,3.171989018179425e-19
91,3.3853547124523015e-19
92,3.1450259083673126e-19
93,3.052650821501146e-19
94,5.569234019303258e-20
95,8.023736501343753e-20
96,8.256673127277212e-20
97,2.914178415737072e-20
98,9.153188211452725e-21
99,2.7683484088542864e-21
