iteration,gbest_fitness
0,345.7193074108443
1,133.9285471472982
2,61.25254969410316
3,54.97966167008841
4,47.81763942380796
5,21.470262862084354
6,21.692475502888367
7,14.452155235387373
8,12.537401312828937
9,10.488292387541767
10,9.231750750792482
11,9.066135733792635
12,8.79144921142093
13,8.586168001701594
14,8.507224415182822
15,8.441503116763231
16,8.428707802909702
17,8.386691190045125
18,8.363490212046539
19,8.350648909654096
20,8.327061946578057
21,8.316134004246955
22,8.309123015748828
23,8.301876485053212
24,8.29777283063789
25,8.292522503790156
26,8.287759721329005
27,8.284480549379404
28,8.282007703459259
29,8.279287982154182
30,8.277950827226872
31,8.27655624193912
32,8.275385266594615
33,8.27444911126322
34,8.273428020760377
35,8.272876812545652
36,8.272191783029005
37,8.271776129976946
38,8.271500195990978
39,8.271088850859606
40,8.270570960542905
41,8.270313811257925
42,8.270185685593791
43,8.269989449048145
44,8.269805758165756
45,8.269644520237273
46,8.26950347455882
47,8.269359680278283
48,8.269270933029102
49,8.269177275899569
50,8.26911697309016
51,8.269032477177893
52,8.268987849105415
53,8.268928936814678
54,8.268880100441729
55,8.268848340531365
56,8.268798202274482
57,8.268771023031977
58,8.268734085987603
59,8.268712213995553
60,8.268695265865666
61,8.2686784921848
62,8.268655401747754
63,8.268643859955738
64,8.268635216052
65,8.268622332342686
66,8.268611652954938
67,8.268598882366204
68,8.268592498087381
69,8.268589306201855
70,8.268582113140054
71,8.268576951598984
72,8.268569667752898
73,8.268566026167
74,8.268563327309302
75,8.26856039067421
76,8.268558285876539
77,8.26855539850281
78,8.268553450612696
79,8.268552476691651
80,8.268550628270424
81,8.26854962525004
82,8.268548527973696
83,8.268547820633737
84,8.268547074071021
85,8.26854649369687
86,8.268545918309634
87,8.268545289742233
88,8.26854486321333
89,8.268544545114102
90,8.268544272979698
91,8.268544100371413
92,8.268543850299464
93,8.26854368006563
94,8.268543507227278
95,8.268543292762038
96,8.26854318552971
97,8.268543119826594
98,8.268543041042092
99,8.268542937346904
