iteration,gbest_fitness
0,7.140023944000651
1,0.552407978336498
2,0.6910086536920397
3,0.003655385356446856
4,0.08366008405717691
5,0.007690065295372146
6,0.023269404917955493
7,0.0304411421422805
8,0.0022360670561471585
9,0.003797290283132968
10,0.004412948097441053
11,0.0013370413717937177
12,0.0002760804334138356
13,0.00014035471041064256
14,0.00014035471041064256
15,7.804215508036777e-05
16,8.60064401613278e-05
17,4.9100435048970475e-06
18,0.00011056626998074437
19,5.6408821229465825e-05
20,1.644895921500681e-05
21,1.5184810632744892e-05
22,7.352368732417908e-06
23,2.4554932839215665e-05
24,9.431196398040931e-07
25,1.539804661939395e-05
26,2.055996260020828e-06
27,3.4251827420783888e-06
28,2.1509408814471216e-06
29,3.041882756538083e-06
30,4.026437482906865e-06
31,9.615470917580458e-07
32,9.615470917580458e-07
33,2.7821960484482347e-07
34,3.839252085826683e-07
35,3.2903570174911433e-08
36,1.1117527909335904e-07
37,2.343927642110104e-07
38,1.9922630037559134e-07
39,6.268851541558908e-08
40,1.6110028632713475e-07
41,6.718998335525508e-08
42,2.929555985531387e-08
43,2.5062258889339268e-09
44,2.2352108132024784e-08
45,6.229885587234319e-09
46,5.379350769436947e-09
47,8.044767988981717e-10
48,3.685576721914076e-10
49,4.374045450651311e-10
50,6.789437090280538e-10
51,2.2742494475587928e-10
52,5.358708300574473e-10
53,6.789437090280538e-10
54,5.781547035066098e-10
55,6.780419721813251e-12
56,1.1413747812529862e-10
57,3.1687526820266667e-10
58,3.275050821582243e-10
59,3.13420897808935e-11
60,6.780419721813251e-12
61,1.3341812862908367e-10
62,4.874060692990783e-12
63,2.9571293848231897e-13
64,1.0842896101123392e-11
65,5.0538835786973074e-12
66,6.540626891415917e-12
67,6.133687274026423e-12
68,4.6086380697371285e-12
69,4.530767499454764e-13
70,1.5143263291351887e-12
71,8.667261659858692e-13
72,1.227026605693601e-13
73,2.7245003252432023e-13
74,2.9571293848231897e-13
75,6.629880539429364e-14
76,1.8522415071670817e-13
77,2.16321836329434e-13
78,2.4706686776126576e-14
79,7.589880474015625e-14
80,1.184358923751863e-13
81,6.262103619990258e-14
82,1.9898972458615415e-14
83,2.6145881919826797e-16
84,3.567948432898847e-15
85,1.1052977793911379e-14
86,5.782757972198082e-15
87,2.6145881919826797e-16
88,8.610331717539056e-15
89,3.412525247083729e-15
90,2.6145881919826797e-16
91,9.636543255416629e-16
92,6.069183077545886e-16
93,1.7548900464222663e-16
94,1.0099430258060887e-16
95,7.766575454952584e-17
96,2.750704070632559e-16
97,2.357213721527235e-16
98,2.787953623847673e-17
99,1.5904317512073562e-17
