iteration,rastrigin_seed0.csv,rastrigin_seed1.csv,rastrigin_seed10.csv,rastrigin_seed2.csv,rastrigin_seed3.csv,rastrigin_seed4.csv,rastrigin_seed5.csv,rastrigin_seed6.csv,rastrigin_seed7.csv,rastrigin_seed8.csv,rastrigin_seed9.csv,中央値,平均値,標準偏差
0,77.18745971198072,60.8091690091956,77.55763516676978,72.61258102569712,70.77584144842892,74.94415926157674,80.33576189169042,60.46151619129894,78.71063342082411,60.93002790880659,83.30456336227806,74.94415926157674,72.51175894532246,8.29870074134866
1,60.56745560413667,49.48882778511126,74.27095479594146,65.10710520109761,79.48314177116302,62.06090518015228,70.88239906942259,59.658296938748926,59.65164482793195,62.586306078674525,56.66372702694813,62.06090518015228,63.6746149344844,8.440042885950104
2,60.18748194134715,60.20128403703923,71.65260310171084,74.43032502865148,79.09014674527435,70.51972871725523,65.64628486679993,79.57127301544227,57.331406747099145,63.98092203510737,65.30612355523922,65.64628486679993,67.9925072537242,7.632489388636795
3,57.25863294354157,64.02310688107208,43.129940767829865,49.04972196661603,55.3792843621608,68.58089501138411,46.69546193012858,62.23164532883942,79.17256460937635,58.75728382084921,52.5923650509511,57.25863294354157,57.89735478843174,10.394970241162921
4,46.7709032412665,51.342535703980445,54.56104789800822,59.256532832724346,64.56332454692077,66.47768289618364,39.172132253651775,56.68683131849562,66.7974174035672,62.32499583603753,57.59915498145505,57.59915498145505,56.86841444657191,8.585782070475735
5,48.82377065460735,37.96572948385143,61.815254712669855,62.18420608734386,64.37368227211252,63.34604733860412,35.09014562248555,53.97455645343512,73.34446515586916,74.47635268928113,57.10693171698768,61.815254712669855,57.50010383520434,12.778419786121257
6,43.80301245954844,54.24532882522839,61.89077624093394,59.38767980087545,44.91906863563069,51.41138373230271,27.59310357143485,53.97455645343512,71.276737218254,52.77992410402703,52.60189778933699,52.77992410402703,52.17122443918251,11.166734360431366
7,34.93101165444298,42.44244792543815,61.89077624093394,56.23795770000942,40.06037978441901,45.1727357514349,28.35275573496878,53.92092979076614,46.85967184526906,40.39071630083794,46.80783708191534,45.1727357514349,45.18792907367597,9.634535222173863
8,32.930338079447665,34.962366694173326,57.78808308259477,47.42451143095646,42.07463925372235,44.65501548585387,22.52287669145703,52.05272189361405,51.60509068746846,51.87924867118972,45.82261801677725,45.82261801677725,43.97431908975045,10.29338916517271
9,31.71812826503356,40.60865862152181,51.421788667101154,42.43755530702303,35.48232970269831,46.39613871979627,21.60323783915564,47.11729806845547,48.6365852204279,48.55957463793223,43.78201018667975,43.78201018667975,41.614845930529555,8.883980213564122
10,29.422107944258187,34.68419394126899,48.36308454232446,34.58947920800988,36.95913769475878,43.424781431590304,18.626809479831053,39.30714411274428,42.78578312234934,43.43899848771496,42.99964553500688,39.30714411274428,37.69101504544156,8.292004891580486
11,27.835080846095764,29.384294086774677,46.02594915049961,33.12862084397514,34.897138433136405,42.04466965304151,17.309481356615365,36.615942891450274,43.24807930758479,39.26132419350977,41.63534422192538,36.615942891450274,35.58053863496443,8.364566451645317
12,25.44682920481813,29.518022950506023,40.17831687907521,27.68231594414316,35.727628937928,36.8939668971238,14.62664869968988,35.66874258949949,42.27324850225146,38.315867469983104,40.69702376659853,35.727628937928,33.36623744014698,8.296421180964428
13,25.384879702439637,27.85861156131776,30.896813183098715,24.800975172703858,34.350691074139135,35.31065641835441,12.174459641828108,35.48776329547134,40.30688348593063,41.16678616195722,37.88724034483316,34.350691074139135,31.420523640188545,8.483258757174335
14,24.80833192684983,25.57234892263604,27.82060938689537,24.079829666796982,35.727628937928,32.1854212498134,11.716184813632507,33.81070606651706,37.34101891511378,43.64209425850732,37.087876698989774,32.1854212498134,30.344731894880002,8.72745609639458
15,24.032794733021262,23.97826501010545,25.746465585506783,22.33024274525121,33.603534321040755,30.153190873829782,9.07513530322069,33.25258549282175,29.686291690748504,31.58990792618347,36.4167448152264,29.686291690748504,27.26046895426873,7.5595652298739875
16,24.043304991049325,23.083151616600105,23.573671358091588,19.62794244831429,31.825055483904464,28.89172156716006,8.239108091190104,32.35090925393747,25.397474713854024,28.342915116867047,35.83917874165893,25.397474713854024,25.564948489329765,7.4664801681941
17,23.541006829917464,21.77500695812212,23.456971084075235,18.96026265812168,31.098508718100845,28.503526712900424,7.0108791448144245,31.77687502343366,22.45800934990909,27.101821152529936,35.81339636139825,23.541006829917464,24.681478544847554,7.727111447513838
18,23.21905338096317,19.884132977238597,22.75844379561872,18.604047163913837,27.92856782969065,27.446588252905443,6.719200472040981,31.11382929907475,18.282877241003305,23.08611872367888,35.52585261304819,23.08611872367888,23.142610159016048,7.6356589927843395
