iteration,gbest_fitness
0,5.188136127432452
1,3.0925465319809504
2,0.6301184895291243
3,3.7465246303100734
4,0.8616382612267479
5,0.6116019568378945
6,0.49068304767765625
7,0.632310050878246
8,0.13750233433411552
9,0.03649776253146797
10,0.022435457100868916
11,0.005050941263142761
12,0.0051530146803031585
13,0.0037127911532692792
14,0.0008294853240577993
15,0.00012795971829504538
16,0.00011531635692563214
17,0.00015843781674362845
18,3.7651640241165296e-06
19,3.0661649610408404e-06
20,1.4638751302697983e-05
21,4.471784471604678e-06
22,2.9726296943977104e-06
23,1.1158522497112244e-06
24,1.9707697944681968e-06
25,3.9009520946819976e-07
26,1.5114241591618338e-07
27,2.766524929143088e-07
28,1.5796337038409547e-07
29,2.5409804038645234e-08
30,5.0016993213830574e-08
31,1.761893031471118e-08
32,4.007709719644481e-09
33,4.334026471042307e-10
34,1.1888232620549388e-09
35,4.675086984207155e-10
36,2.359925588280021e-10
37,1.525251036582631e-10
38,3.519318170219776e-11
39,9.027445457832073e-12
40,5.7696070143720135e-12
41,3.147704319417244e-12
42,1.2718714970105793e-12
43,6.963318810448982e-13
44,7.247535904753022e-13
45,7.247535904753022e-13
46,6.963318810448982e-13
47,6.892264536872972e-13
48,6.252776074688882e-13
49,2.6645352591003757e-13
50,2.1316282072803006e-13
51,8.526512829121202e-14
52,2.1316282072803006e-14
53,1.4210854715202004e-14
54,7.105427357601002e-15
55,7.105427357601002e-15
56,7.105427357601002e-15
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
