iteration,rastrigin_seed0.csv,rastrigin_seed1.csv,rastrigin_seed10.csv,rastrigin_seed2.csv,rastrigin_seed3.csv,rastrigin_seed4.csv,rastrigin_seed5.csv,rastrigin_seed6.csv,rastrigin_seed7.csv,rastrigin_seed8.csv,rastrigin_seed9.csv,中央値,平均�,標準偏差
47,7.00123504,12.95092046,27.89814848,25.91110371,5.142942967,20.04472422,6.015607115,23.00024443,29.02162094,10.95685461,10.97397984,12.95092046,16.26521653,9.124037723
48,6.996015873,12.94777654,27.88967186,25.91018897,5.087522345,20.02975176,6.007222604,22.95943789,28.98860224,10.95522323,10.96884409,12.94777654,16.24911431,9.123364716
49,6.996015873,12.94733412,27.88172433,25.90856127,5.059915792,20.0180486,6.006487942,22.93865271,28.9566238,10.95522323,10.96547479,12.94733412,16.23946022,9.119376975
50,6.993873376,12.94470968,27.8802254,25.90502664,5.026716713,20.00992746,6.004098472,22.91639405,28.9169676,10.953354,10.96030723,12.94470968,16.22832733,9.116376288
51,6.990121257,12.94470968,27.87841564,25.90283214,5.020681848,20.00992746,5.999914668,22.90486575,28.90382246,10.95330407,10.95681596,12.94470968,16.22412827,9.115033136
52,6.988004301,12.94079082,27.87751163,25.89887347,5.01739288,19.99215274,5.993491259,22.90391666,28.88226368,10.95288533,10.95672196,12.94079082,16.21854588,9.112202714
53,6.983388392,12.93856609,27.87670708,25.89105554,5.000923567,19.97017059,5.991927127,22.90391666,28.88051359,10.95143707,10.95656991,12.93856609,16.21319778,9.112958667
54,6.974577016,12.93856609,27.87461189,25.88485358,4.99867295,19.96708397,5.9887188,22.90389228,28.88051359,10.95074501,10.95497873,12.93856609,16.21065581,9.113564169
55,6.973020818,12.93773281,27.87256992,25.88200325,4.995967032,19.96626694,5.987222562,22.90361492,28.87881529,10.94957344,10.95487555,12.93773281,16.20924205,9.113472073
56,6.971375888,12.93739577,27.87005587,25.88050324,4.992985933,19.95573901,5.98292096,22.90361492,28.87681279,10.94936229,10.95287705,12.93739577,16.20669488,9.113434689
57,6.971252172,12.93664522,27.86665703,25.87594411,4.988409187,19.948998,5.981876992,22.90303909,28.87681279,10.94883121,10.95212005,12.93664522,16.20459871,9.112990423
58,6.970902654,12.93592483,27.86485326,25.87187937,4.983132661,19.94059962,5.981611104,22.90303909,28.87460682,10.94864153,10.95083682,12.93592483,16.20236616,9.112502159
59,6.969613533,12.93564084,27.86387115,25.87187937,4.981930076,19.93016149,5.980902936,22.90303593,28.8732922,10.94854451,10.95041157,12.93564084,16.20084396,9.112164065
60,6.968915528,12.93533454,27.86363466,25.87150075,4.979428525,19.92643661,5.978953112,22.90269313,28.87271827,10.94759451,10.94953642,12.93533454,16.19970419,9.112549744
61,6.968582788,12.93506573,27.86331331,25.87053495,4.978873028,19.92214375,5.978503264,22.90067545,28.8719179,10.94735926,10.948585,12.93506573,16.19868677,9.112201454
62,6.967317629,12.9348637,27.86308301,25.87048092,4.978582389,19.92067457,5.976383439,22.89766696,28.87068132,10.946865,10.94798483,12.9348637,16.19768943,9.112184992
63,6.96675045,12.93478178,27.86277944,25.86965074,4.978427294,19.91907545,5.974335442,22.89712793,28.86956472,10.94637562,10.94764045,12.93478178,16.19695539,9.112155011
64,6.966426307,12.93471163,27.86206662,25.8696063,4.978284713,19.91558612,5.974165386,22.89683285,28.8693898,10.94617784,10.94735308,12.93471163,16.19641824,9.111970461
65,6.966192111,12.93469815,27.86172697,25.86947132,4.977999157,19.91376172,5.973320515,22.89498647,28.86843626,10.94594134,10.94687935,12.93469815,16.19576485,9.111764872
66,6.966168968,12.93460722,27.86106409,25.86944162,4.977948661,19.90770807,5.972767376,22.89471065,28.86751985,10.94568798,10.94643167,12.93460722,16.19491419,9.111396519
67,6.965588466,12.93460603,27.86094384,25.86944162,4.977905543,19.90509278,5.972522581,22.89358561,28.86688585,10.94547365,10.94621023,12.93460603,16.19438693,9.111220392
68,6.965534355,12.93456867,27.86084208,25.86931083,4.977799247,19.90351101,5.971202936,22.89292883,28.8662653,10.94544046,10.94596703,12.93456867,16.1939428,9.111178344
69,6.965388191,12.93456542,27.86069222,25.86927784,4.977625539,19.90286368,5.97089748,22.892848,28.86616454,10.94530244,10.94540533,12.93456542,16.19373006,9.111220222
70,6.965366319,12.93455383,27.86061241,25.86926579,4.977410113,19.90214298,5.97089748,22.89262477,28.86562352,10.94515159,10.94518955,12.93455383,16.19353076,9.111137993
71,6.965329102,12.93455383,27.8605209,25.86922909,4.977185184,19.90145943,5.970609738,22.89215164,28.86372134,10.94500401,10.94491507,12.93455383,16.19315267,9.110883273
72,6.965311008,12.9345466,27.86043783,25.86920223,4.976983552,19.90071054,5.970442772,22.89152513,28.86168848,10.94490375,10.94483274,12.9345466,16.19278042,9.110566703
73,6.965210164,12.9345209,27.86028582,25.86915025,4.976916818,19.90034661,5.970375571,22.88994821,28.86023111,10.94475167,10.9447987,12.9345209,16.19241235,9.110245919
74,6.965202764,12.93449887,27.86019592,25.86914989,4.976333859,19.90032858,5.970253325,22.88984659,28.85850975,10.94469152,10.94474574,12.93449887,16.19215971,9.110080358
75,6.965023998,12.93448761,27.86002313,25.86914989,4.976027785,19.90027201,5.970189159,22.88740607,28.85750469,10.94465885,10.9446714,12.93448761,16.19176496,9.109806338
76,6.964983628,12.93448189,27.85974049,25.86913313,4.975958369,19.90001871,5.970176651,22.8862105,28.85583966,10.94463197,10.94467026,12.93448189,16.19144048,9.109454543
77,6.964916162,12.93448109,27.85957933,25.86907313,4.97582506,19.89993701,5.970119577,22.88510666,28.85573999,10.94461169,10.94464484,12.93448109,16.19127587,9.109361534
78,6.964897996,12.93448028,27.8595311,25.86907313,4.975766809,19.89983914,5.970080965,22.88499346,28.8553524,10.94460565,10.94463547,12.93448028,16.19120513,9.109303429
79,6.964884675,12.93447504,27.8593428,25.86907313,4.975670135,19.89972061,5.970045487,22.88479559,28.8548949,10.94457821,10.94460699,12.93447504,16.19109887,9.109216982
80,6.964865156,12.93447419,27.85928864,25.8690621,4.975571598,19.89959663,5.970010976,22.88461085,28.8548949,10.94456188,10.94460686,12.93447419,16.19104943,9.10920921
81,6.964856445,12.93447275,27.85924484,25.86905884,4.97541108,19.8995443,5.970003641,22.88460636,28.85471156,10.94455675,10.94460389,12.93447275,16.1910064,9.109197292
82,6.964850091,12.93446788,27.85910205,25.86904769,4.975256134,19.89952637,5.969993077,22.88454194,28.85451044,10.94455321,10.94460068,12.93446788,16.19094996,9.109165863
83,6.964844184,12.93446695,27.85908937,25.86904388,4.975172094,19.89949361,5.969985011,22.88450731,28.85449305,10.94455249,10.94458651,12.93446695,16.19093041,9.109170277
84,6.964829478,12.93446514,27.85907076,25.86900881,4.975059759,19.89944926,5.969960713,22.88438887,28.85447757,10.94455249,10.94457368,12.93446514,16.19089423,9.109170359
85,6.964823104,12.93446353,27.85906078,25.86899128,4.974942475,19.89943755,5.969954589,22.88430783,28.85441432,10.94455176,10.94456436,12.93446353,16.19086469,9.109168404
86,6.964806092,12.93446338,27.85899405,25.86898496,4.974934655,19.8994233,5.969944757,22.88429447,28.8542845,10.94455063,10.94455908,12.93446338,16.19083999,9.109143739
87,6.964802082,12.93446308,27.85896566,25.86897454,4.974924198,19.8994211,5.969930894,22.88426098,28.85425414,10.94454992,10.94455839,12.93446308,16.19082773,9.109135565
88,6.964784704,12.93446277,27.85895441,25.8689505,4.974889734,19.89941219,5.969917094,22.88423391,28.85421878,10.94454866,10.94455121,12.93446277,16.19081127,9.109132352
89,6.964777891,12.934462,27.85895441,25.8689438,4.974884757,19.89938158,5.969917094,22.88422038,28.85420833,10.94454802,10.94454882,12.934462,16.19080428,9.109129451
90,6.964771883,12.93446186,27.85895114,25.8689185,4.974863376,19.89936124,5.969909748,22.88415997,28.85415921,10.94454577,10.94454527,12.93446186,16.19078618,9.109118652
91,6.964769336,12.93446125,27.85893107,25.86891446,4.974858521,19.89934829,5.969890627,22.88415698,28.85411084,10.94454525,10.94454494,12.93446125,16.1907756,9.109111254
92,6.964757062,12.93446116,27.85891572,25.86890112,4.974854214,19.89932843,5.969873955,22.884149,28.8540969,10.94454495,10.94454489,12.93446116,16.19076613,9.109108204
93,6.964754604,12.93446088,27.85890439,25.86889989,4.974847919,19.89928226,5.969814567,22.88413815,28.85400236,10.94454399,10.94454328,12.93446088,16.19074475,9.109098648
94,6.964752807,12.93446084,27.85889075,25.86889819,4.974836073,19.89924666,5.969787266,22.88412758,28.85396464,10.94454352,10.94454315,12.93446084,16.19073195,9.109093992
95,6.964748717,12.93446015,27.85885438,25.86889772,4.974826232,19.89922816,5.969780026,22.88411752,28.85392299,10.94454236,10.944543,12.93446015,16.19072011,9.109084539
96,6.96474225,12.93445941,27.85883419,25.86889705,4.97481856,19.89920766,5.969779314,22.88410292,28.85389087,10.94454201,10.94454238,12.93445941,16.1907106,9.109077269
97,6.964735702,12.93445933,27.85883419,25.86889647,4.974812859,19.89920202,5.96977555,22.884097,28.85386857,10.94454198,10.94454178,12.93445933,16.19070595,9.10907527
98,6.964723572,12.93445895,27.85883011,25.86889647,4.974812125,19.89919936,5.96977545,22.88408894,28.85385684,10.94454151,10.94454177,12.93445895,16.19070228,9.109073787
99,6.964718964,12.93445884,27.85882986,25.86889618,4.974810885,19.89919668,5.969773357,22.88408384,28.8538418,10.94454146,10.94454136,12.93445884,16.19069938,9.109072036
100,6.964718018,12.93445874,27.85882563,25.86889539,4.974807035,19.89919013,5.969772121,22.88407379,28.85381732,10.94454141,10.94454076,12.93445874,16.19069458,9.109067749
101,6.964715197,12.93445865,27.85882368,25.86889466,4.974805665,19.89918783,5.969770583,22.88406458,28.85380645,10.94454088,10.94454055,12.93445865,16.1906917,9.109065814
102,6.96471292,12.93445848,27.85882359,25.86889436,4.974804642,19.89918472,5.969769525,22.88405607,28.85379535,10.94454071,10.94454044,12.93445848,16.19068916,9.109063974
103,6.96471097,12.93445822,27.85882329,25.86889363,4.974804223,19.89918184,5.969768612,22.88405299,28.85379152,10.94454064,10.94454018,12.93445822,16.19068783,9.109063361
104,6.964709903,12.93445815,27.85882073,25.8688924,4.974803053,19.89918075,5.969767316,22.88404608,28.85379027,10.94454032,10.94454006,12.93445815,16.19068628,9.109062603
105,6.964709595,12.93445802,27.85881983,25.86889221,4.974800821,19.89917963,5.969765458,22.88403967,28.85378808,10.94454017,10.94453991,12.93445802,16.19068485,9.109062182
106,6.964709174,12.93445796,27.85881839,25.86889185,4.974798843,19.8991763,5.969765025,22.88403575,28.85378637,10.94453999,10.94453984,12.93445796,16.19068359,9.10906165
107,6.964709174,12.93445788,27.85881781,25.86889146,4.974798385,19.89917503,5.969763278,22.88403275,28.8537862,10.94453978,10.94453983,12.93445788,16.19068287,9.109061507
108,6.964709079,12.93445784,27.85881756,25.86889087,4.974797697,19.8991734,5.969763,22.88402944,28.85378546,10.94453976,10.94453981,12.93445784,16.19068217,9.109061128
109,6.964709004,12.93445783,27.85881568,25.8688908,4.974797181,19.89917145,5.969761897,22.88402458,28.85378402,10.94453969,10.94453977,12.93445783,16.19068108,9.109060445
110,6.964708844,12.9344578,27.85881368,25.8688907,4.974796739,19.89916848,5.969761692,22.88402218,28.85378316,10.94453969,10.94453976,12.9344578,16.19068025,9.109059855
111,6.964708839,12.93445779,27.85881327,25.86889065,4.974796616,19.89916738,5.969760833,22.88402117,28.85378202,10.94453963,10.94453972,12.93445779,16.19067981,9.109059639
112,6.964708647,12.93445775,27.85881184,25.8688906,4.974796476,19.89916729,5.969759464,22.88401998,28.85377929,10.94453961,10.94453969,12.93445775,16.19067915,9.109059175
113,6.964708576,12.93445774,27.85881135,25.86889056,4.974796299,19.8991665,5.969758159,22.88401962,28.8537775,10.94453961,10.94453966,12.93445774,16.19067869,9.109058978
114,6.96470855,12.93445773,27.85881033,25.86889053,4.974796283,19.8991659,5.969756693,22.88401945,28.85377598,10.94453961,10.94453962,12.93445773,16.19067824,9.109058768
115,6.964708522,12.93445772,27.85881,25.8688905,4.974796172,19.89916567,5.969755989,22.8840192,28.8537752,10.9445396,10.94453961,12.93445772,16.19067802,9.109058683
116,6.964708449,12.93445772,27.85880884,25.86889039,4.974796056,19.89916557,5.969755989,22.88401917,28.85377346,10.94453959,10.94453959,12.93445772,16.19067771,9.109058297
117,6.964708439,12.93445772,27.8588085,25.86889038,4.97479585,19.8991651,5.969755704,22.88401909,28.85377246,10.94453958,10.94453959,12.93445772,16.19067749,9.109058148
118,6.964708437,12.93445772,27.85880727,25.86889031,4.974795614,19.89916474,5.969755644,22.88401902,28.85377041,10.94453957,10.94453958,12.93445772,16.19067712,9.109057715
119,6.964708437,12.9344577,27.85880686,25.86889026,4.97479554,19.89916456,5.969755452,22.88401896,28.85376756,10.94453957,10.94453958,12.9344577,16.19067677,9.109057283
120,6.96470843,12.93445769,27.85880679,25.86889021,4.974795454,19.89916427,5.969755375,22.88401889,28.85376663,10.94453956,10.94453957,12.93445769,16.19067662,9.109057142
121,6.964708415,12.93445769,27.85880637,25.8688902,4.974795414,19.89916401,5.969755139,22.88401888,28.85376628,10.94453956,10.94453956,12.93445769,16.1906765,9.109057061
122,6.964708411,12.93445769,27.8588053,25.86889019,4.974795368,19.89916385,5.969754999,22.88401882,28.85376524,10.94453956,10.94453956,12.93445769,16.19067627,9.109056789
123,6.964708403,12.93445769,27.85880513,25.86889017,4.974795326,19.89916365,5.969754836,22.88401881,28.85376466,10.94453956,10.94453956,12.93445769,16.19067616,9.1090567
124,6.964708395,12.93445768,27.85880505,25.86889017,4.974795319,19.89916355,5.969754725,22.88401875,28.85376387,10.94453956,10.94453956,12.93445768,16.19067606,9.109056585
125,6.96470839,12.93445768,27.85880493,25.86889016,4.97479531,19.89916326,5.96975462,22.88401873,28.85376347,10.94453956,10.94453956,12.93445768,16.19067597,9.109056514
126,6.964708383,12.93445768,27.8588048,25.86889016,4.974795305,19.89916324,5.9697546,22.88401866,28.85376341,10.94453956,10.94453956,12.93445768,16.19067594,9.109056487
127,6.96470838,12.93445768,27.85880469,25.86889016,4.974795301,19.89916317,5.969754578,22.88401863,28.85376338,10.94453956,10.94453956,12.93445768,16.19067592,9.109056467
128,6.964708375,12.93445768,27.85880464,25.86889015,4.974795301,19.89916314,5.969754553,22.88401859,28.85376326,10.94453956,10.94453956,12.93445768,16.19067589,9.109056441
129,6.964708371,12.93445767,27.85880455,25.86889015,4.974795298,19.89916302,5.969754533,22.88401855,28.85376321,10.94453956,10.94453956,12.93445767,16.19067586,9.109056419
130,6.964708368,12.93445767,27.8588044,25.86889015,4.974795295,19.89916264,5.969754517,22.88401854,28.85376303,10.94453955,10.94453956,12.93445767,16.19067579,9.10905636
131,6.964708366,12.93445767,27.85880425,25.86889014,4.974795294,19.89916259,5.969754504,22.88401853,28.85376272,10.94453955,10.94453955,12.93445767,16.19067574,9.109056296
132,6.964708364,12.93445767,27.85880422,25.86889014,4.974795293,19.89916237,5.96975449,22.88401848,28.85376263,10.94453955,10.94453955,12.93445767,16.19067571,9.109056268
133,6.964708364,12.93445767,27.85880412,25.86889012,4.974795292,19.89916223,5.969754473,22.88401839,28.85376253,10.94453955,10.94453955,12.93445767,16.19067566,9.10905623
134,6.964708364,12.93445767,27.85880402,25.86889012,4.974795291,19.89916217,5.96975445,22.88401834,28.85376249,10.94453955,10.94453955,12.93445767,16.19067564,9.109056208
135,6.964708364,12.93445767,27.85880394,25.86889012,4.974795291,19.89916197,5.969754441,22.8840183,28.85376244,10.94453955,10.94453955,12.93445767,16.1906756,9.109056182
136,6.964708363,12.93445767,27.85880385,25.86889011,4.97479529,19.8991619,5.969754427,22.88401826,28.85376241,10.94453955,10.94453955,12.93445767,16.19067558,9.109056162
137,6.964708363,12.93445767,27.85880374,25.86889011,4.97479529,19.89916177,5.969754416,22.88401824,28.85376238,10.94453955,10.94453955,12.93445767,16.19067555,9.109056137
138,6.964708363,12.93445767,27.85880369,25.86889011,4.974795289,19.89916166,5.969754411,22.88401823,28.85376236,10.94453955,10.94453955,12.93445767,16.19067554,9.109056123
139,6.964708363,12.93445767,27.85880367,25.86889011,4.974795289,19.89916154,5.969754405,22.8840182,28.85376233,10.94453955,10.94453955,12.93445767,16.19067552,9.10905611
140,6.964708363,12.93445767,27.85880367,25.86889011,4.974795288,19.89916152,5.969754398,22.88401818,28.85376231,10.94453955,10.94453955,12.93445767,16.19067551,9.109056106
141,6.964708363,12.93445767,27.85880364,25.86889011,4.974795288,19.89916146,5.969754395,22.88401817,28.85376231,10.94453955,10.94453955,12.93445767,16.1906755,9.109056098
142,6.964708362,12.93445767,27.85880359,25.86889011,4.974795288,19.89916144,5.969754392,22.88401816,28.85376231,10.94453955,10.94453955,12.93445767,16.19067549,9.10905609
143,6.964708362,12.93445767,27.85880355,25.86889011,4.974795288,19.89916142,5.969754387,22.88401814,28.85376228,10.94453955,10.94453955,12.93445767,16.19067548,9.10905608
144,6.964708362,12.93445767,27.85880352,25.86889011,4.974795287,19.89916138,5.969754385,22.88401811,28.85376228,10.94453955,10.94453955,12.93445767,16.19067547,9.109056072
145,6.964708362,12.93445767,27.85880346,25.86889011,4.974795287,19.8991613,5.969754383,22.88401809,28.85376226,10.94453955,10.94453955,12.93445767,16.19067546,9.109056059
146,6.964708362,12.93445767,27.8588034,25.86889011,4.974795287,19.89916122,5.969754383,22.88401805,28.85376226,10.94453955,10.94453955,12.93445767,16.19067544,9.109056044
147,6.964708362,12.93445767,27.85880336,25.86889011,4.974795287,19.89916119,5.96975438,22.88401803,28.85376225,10.94453955,10.94453955,12.93445767,16.19067543,9.109056036
148,6.964708362,12.93445767,27.85880331,25.8688901,4.974795287,19.89916115,5.969754376,22.88401801,28.85376225,10.94453955,10.94453955,12.93445767,16.19067542,9.109056026
149,6.964708362,12.93445767,27.8588033,25.8688901,4.974795287,19.89916113,5.969754374,22.88401799,28.85376225,10.94453955,10.94453955,12.93445767,16.19067542,9.109056023
150,6.964708362,12.93445767,27.85880327,25.8688901,4.974795287,19.89916113,5.969754372,22.88401798,28.85376224,10.94453955,10.94453955,12.93445767,16.19067541,9.109056017
151,6.964708362,12.93445767,27.85880325,25.8688901,4.974795287,19.89916113,5.969754369,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.19067541,9.109056014
152,6.964708362,12.93445767,27.85880323,25.8688901,4.974795287,19.89916112,5.969754367,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.1906754,9.109056011
153,6.964708362,12.93445767,27.85880322,25.8688901,4.974795287,19.89916112,5.969754366,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.1906754,9.10905601
154,6.964708362,12.93445767,27.85880322,25.8688901,4.974795287,19.89916111,5.969754365,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.1906754,9.109056009
155,6.964708362,12.93445767,27.85880322,25.8688901,4.974795286,19.89916111,5.969754362,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.1906754,9.109056009
156,6.964708362,12.93445767,27.85880321,25.8688901,4.974795286,19.8991611,5.969754361,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.1906754,9.109056008
157,6.964708362,12.93445767,27.85880321,25.8688901,4.974795286,19.8991611,5.96975436,22.88401797,28.85376224,10.94453955,10.94453955,12.93445767,16.1906754,9.109056007
158,6.964708362,12.93445767,27.85880321,25.8688901,4.974795286,19.8991611,5.96975436,22.88401797,28.85376223,10.94453955,10.94453955,12.93445767,16.1906754,9.109056007
