iteration,rosenbrock_seed0.csv,rosenbrock_seed1.csv,rosenbrock_seed10.csv,rosenbrock_seed2.csv,rosenbrock_seed3.csv,rosenbrock_seed4.csv,rosenbrock_seed5.csv,rosenbrock_seed6.csv,rosenbrock_seed7.csv,rosenbrock_seed8.csv,rosenbrock_seed9.csv,中央値,平均値,標準偏差
0,345.7193074108443,217.1744326537104,292.46071078927184,316.149244424517,445.7129906529173,518.3950454238532,434.6308657464849,488.0858888151285,394.807095933801,382.7845637563439,264.7134865058605,382.7845637563439,372.7848756466121,95.13737428889732
1,133.9285471472982,92.21878428540336,137.19700526067874,129.8192484534899,110.8004622675384,77.23347467806339,129.24602507171682,101.24417939119674,95.90475460478444,121.65942755536678,84.81495761195876,110.8004622675384,110.3697151206814,21.236731090664968
2,61.25254969410316,58.00562267372536,83.14624915018081,70.57643278454397,68.94274939131004,54.32284890838975,60.45672967744733,120.2769401652481,88.98683283095347,52.53970375729,69.40531071790778,68.94274939131004,71.62836088646362,19.73783917260121
3,54.97966167008841,44.03565861505437,79.68099180650951,46.85131487775463,62.07935008521726,35.58688368776953,40.80241738656586,67.30522404073449,67.6409897403042,56.8160241055057,57.347109639671714,56.8160241055057,55.73869324137961,13.184630972615176
4,47.81763942380796,31.015399477934285,55.91246848883623,34.487904470195915,51.07789840826334,34.422584368641985,22.913276382190368,38.720782312351815,44.78131368901209,29.14167732097896,35.36288945768767,35.36288945768767,38.695803072718235,10.081691344669581
5,21.470262862084358,21.67261502916509,43.30284231773396,34.62690924462811,33.04505269739659,28.65431532260085,21.191116685669392,30.74916425487226,35.33315668599108,24.35829057002179,23.751766050323976,28.65431532260085,28.923226520044317,7.18522487547292
6,21.692475502888367,22.1492857995298,35.86447915348412,26.981071224904547,30.86398342690636,22.02492709906853,16.056918665051693,29.704752551560127,35.11180982678276,18.939876803801155,20.021483596882227,22.1492857995298,25.401005786441786,6.696037302853652
7,14.452155235387371,15.85996616574608,28.93372034597515,16.23145532267078,21.894429860527293,16.591358039361292,12.780162251978458,19.461645542154645,30.35837706104049,16.679416395963166,15.235136671883131,16.591358039361292,18.952529353880717,5.818181572234324
8,12.537401312828935,14.304551413659413,27.062141689091924,14.273370084764196,19.197157278049172,15.99286901993627,10.368814490489306,13.721933290296764,24.09081790657213,16.175727677158676,10.495256980004571,14.304551413659413,16.201821922077396,5.316807559413559
9,10.488292387541769,12.918779466127114,22.153642157079883,13.118614705184813,16.068158805429285,14.314271155565274,9.561383898090703,13.061923051923294,21.62809271786942,11.36610043683264,9.224492669355282,13.061923051923294,13.991250131909043,4.400534634001056
10,9.231750750792482,12.416030568785532,19.93643341089433,11.753928973308632,14.779990776151704,12.875525318112674,8.959720322514539,12.793970110310054,19.171173990892378,9.939310248960767,8.912050467401764,12.416030568785532,12.797262267102258,3.8401576341700894
11,9.066135733792636,10.808832614789726,17.673529687657663,10.805303575989992,13.646275714125276,11.386821922302795,8.42711467394745,11.33681295222076,17.383093326959084,9.523499632725487,8.488638632952002,10.808832614789726,11.686005315223897,3.260216293942144
12,8.79144921142093,9.493022778123516,15.639456874399958,10.294353446254243,13.033810891559272,10.719641077051415,7.833089641147339,10.658033868799787,16.731077295933012,8.813519406647817,8.304913895094828,10.294353446254243,10.937488035130194,2.972858427037238
