iteration,rastrigin_seed0.csv,rastrigin_seed1.csv,rastrigin_seed10.csv,rastrigin_seed2.csv,rastrigin_seed3.csv,rastrigin_seed4.csv,rastrigin_seed5.csv,rastrigin_seed6.csv,rastrigin_seed7.csv,rastrigin_seed8.csv,rastrigin_seed9.csv,中央値,平均値,標準偏差
0,67.26758588276122,86.26103737535719,90.19468131370203,78.47999697342547,85.13873573313401,85.73440061561422,72.3431435248098,68.33563173581456,60.28071771864798,65.11081288934973,64.82540885725193,72.3431435248098,74.90655932907893,10.568649271802947
1,67.79035856869933,66.38054179809303,82.39330371329254,55.33858158014473,82.91897790621017,86.27940742688537,74.25276214938367,47.680847935843495,67.23468534346236,93.36554118038282,72.65450547730734,72.65450547730734,72.38995573451862,13.536967524539763
2,59.341755241177815,78.11793556978697,76.2483484963831,53.582804408429766,75.86661636377973,62.91995913629644,68.81257075089667,55.893090000511314,61.86097782994108,84.15316258787254,71.42397725048502,68.81257075089667,68.02010887596003,9.992437341634272
3,55.185927301288494,64.2246452443684,67.75648484873734,54.442926108774536,63.18417562422036,66.30874551560828,67.07124321174868,67.10469231377219,74.63468401904537,51.935182232057656,74.80151655055573,66.30874551560828,64.2409293609252,7.635085346779057
4,51.354187132219096,59.32971552067008,75.76899140764894,42.96176427950984,70.44117542864845,65.4679918580162,67.0035987515115,55.94797684093388,62.26171115466423,61.27223989954757,56.6496061717348,61.27223989954757,60.76899622228223,9.110447067950163
5,53.470097684851126,58.722460102164064,58.38017908130756,41.05749723576752,82.58428779548147,73.28656935373807,58.76663090118655,46.86141879608414,62.08322356662438,74.40576697997562,53.03714825195764,58.722460102164064,60.241389068103466,12.35373122054659
6,50.4891048167687,59.36958909595799,53.29409677051103,38.35202955693978,62.7135139434144,72.64541024539866,51.897589615584174,42.75317639885471,51.25872457966117,61.27223989954757,61.630064754125534,53.29409677051103,55.06141269788761,9.732570860649801
7,30.89505225250413,56.356425941430174,55.99909773835859,33.08530269088621,48.86110982201137,34.58570024478732,48.37155563568312,46.55156324203091,44.60703908548524,62.76999158357057,60.0566050286984,48.37155563568312,47.46722211504055,10.971180465348583
8,24.478202717568426,39.92664481219457,57.769846039471965,32.33743853289283,44.136517814234246,52.96350840509921,46.09299551743194,45.37665944137322,56.14540017984296,58.749301824324974,56.46843828846987,46.09299551743194,46.7677230520822,11.163364799227141
9,19.37686826132644,39.08464648374466,48.801789087803215,31.984066946888746,43.02274124830653,56.069069078076,43.56632341951845,36.12439619704968,51.96897722971588,65.48701252158442,43.405809910968095,43.405809910968095,43.53560912590746,12.368940679929246
