iteration,rastrigin_seed0.csv,rastrigin_seed1.csv,rastrigin_seed10.csv,rastrigin_seed2.csv,rastrigin_seed3.csv,rastrigin_seed4.csv,rastrigin_seed5.csv,rastrigin_seed6.csv,rastrigin_seed7.csv,rastrigin_seed8.csv,rastrigin_seed9.csv,中央値,平均値,標準偏差
0,111.79638888674492,111.72424609825514,114.79867085523595,109.43376431343442,113.61257701307407,108.5025561756232,114.39321900545724,118.50963852768814,108.1426900673016,102.95286667003938,84.80517187676166,111.72424609825514,108.97016268087417,9.015431841166212
1,82.64039143164823,54.32338602807736,68.95509192458552,76.18206139971562,82.79063440170493,89.32805602346748,76.64935140677713,80.55758089312769,82.8524570012722,76.82342649570666,77.1667185960353,77.1667185960353,77.11537778201074,9.186337401024273
2,76.88681905989795,54.32338602807736,54.92444110872692,67.23145251302287,65.56299786669675,66.13449359632777,76.64935140677713,71.17902832876258,67.8187878616769,65.4926480968279,66.62270810564735,66.62270810564735,66.6205558156765,7.205608081525572
3,76.88681905989795,54.32338602807736,54.92444110872692,67.23145251302287,65.56299786669675,66.13449359632777,76.64935140677713,71.17902832876258,67.8187878616769,59.17174076263768,60.148741312736654,66.13449359632777,65.45738544048551,7.748692198731181
4,68.87888163403625,54.32338602807736,54.92444110872692,67.23145251302287,59.9703818111695,66.13449359632777,76.64935140677713,71.17902832876258,67.8187878616769,59.17174076263768,60.148741312736654,66.13449359632777,64.22097148763197,7.034039607518132
5,56.87079195927495,54.32338602807736,41.34786971678471,67.23145251302287,59.9703818111695,66.13449359632777,76.64935140677713,71.17902832876258,67.8187878616769,59.17174076263768,60.148741312736654,60.148741312736654,61.89509320884074,9.509745760307117
6,55.939707490100176,54.32338602807736,41.34786971678471,67.23145251302287,47.0255830696649,66.13449359632777,62.28484001394795,61.89608800081352,67.8187878616769,59.17174076263768,45.00518129723133,59.17174076263768,57.10719366820774,9.26445558399029
7,55.939707490100176,49.73402518866462,41.34786971678471,67.23145251302287,47.0255830696649,60.06562266069784,62.28484001394795,61.89608800081352,67.8187878616769,59.17174076263768,45.00518129723133,59.17174076263768,56.13826350684022,9.065585899463171
8,52.45024067707869,49.73402518866462,39.66994361001792,63.32035002477882,47.0255830696649,55.86843838669866,62.28484001394795,59.69687994556019,67.8187878616769,59.17174076263768,45.00518129723133,55.86843838669866,54.73145553072342,8.710760984656925
9,52.45024067707869,49.73402518866462,39.66994361001792,63.32035002477882,46.35573520145172,54.8634778671558,60.82474420411357,59.69687994556019,65.3666964329245,59.17174076263768,42.88190104845356,54.8634778671558,54.030521360257914,8.54741046282617
10,51.66724879955951,48.1381532502496,38.60633602279712,63.32035002477882,46.35573520145172,54.8634778671558,59.232907893489546,50.41672689709011,46.41327032611416,59.17174076263768,29.944602533509595,50.41672689709011,49.83004996171215,9.6681670475262
11,49.847409767862274,45.24769719255087,36.84541696990152,61.61541054061361,44.25842961731453,52.25405533243568,52.75936844879023,47.30897260009181,46.41327032611416,59.17174076263768,29.944602533509595,47.30897260009181,47.78785219016563,9.104095066128217
