iteration,gbest_fitness
0,114.39321900545723
1,79.12916772603121
2,78.01740418842199
3,72.01627300015772
4,61.7525075440525
5,61.7525075440525
6,56.724369044647545
7,54.7851421834626
8,47.38129350143377
9,43.649704753934785
10,36.4760488114722
11,35.720865382464964
12,32.711444756317775
13,32.09022986045275
14,29.41817384860572
15,26.638824894813638
16,24.74183501642254
17,23.08974714708468
18,21.47151867280114
19,19.935390732188978
20,18.816878664485515
21,18.190552678006497
22,17.707689456888176
23,17.339198595591753
24,16.938755546987423
25,15.97372620902442
26,15.244600875873417
27,15.129779128754791
28,14.853035498914409
29,14.633308920057658
30,14.5817246781899
