iteration,gbest_fitness
0,498.35182704181545
1,188.24620910157614
2,112.88623928368091
3,67.03058179921085
4,29.832357631672274
5,25.731308992237867
6,18.60081301009708
7,17.1680593809329
8,13.894721159041795
9,11.850555676225607
10,11.167958581978116
11,10.649119105947134
12,9.862119651393858
13,9.685905652037327
14,9.57833299694703
15,9.492142305525373
16,9.395351519768912
17,9.340154313694807
18,9.298866514076945
19,9.254216485509055
20,9.204662162232761
21,9.16087488075916
22,9.129067514624468
23,9.008740586956401
24,8.974893130888502
25,8.955211851344373
26,8.931188800958763
27,8.927584025800412
28,8.91843255982832
29,8.911534503714494
30,8.906705664794323
