iteration,gbest_fitness
0,1017.1007001088421
1,325.9375175034113
2,135.43375492706826
3,74.46646487584287
4,44.79063922346233
5,20.940733281170424
6,12.61272422256674
7,12.61272422256674
8,12.61272422256674
9,11.811636811256623
10,11.577486001276519
11,11.02456894899201
12,10.445929963784492
13,10.162593402445669
14,9.833030285374356
15,9.82073750658618
16,9.764101788010423
17,9.55259542321342
18,9.492603244711466
19,9.421361438204277
20,9.38353577650394
21,9.335259336163082
22,9.291853764120487
23,9.273508391962
24,9.233092068288975
25,9.223498518827736
26,9.20088707953094
27,9.171000740056847
28,9.16735826576988
29,9.164062705714716
30,9.158645524044127
