iteration,gbest_fitness
0,13.523943198687917
1,4.234756736076525
2,1.2789988974967414
3,1.1406234330473524
4,0.13215480605532548
5,0.1741793907712328
6,0.6447598617205799
7,0.010747048605537657
8,0.06343927739720812
9,0.03724346193046557
10,0.0014189671364306378
11,0.0014189671364306378
12,0.00025516825117222197
13,0.00010137442502866634
14,0.00010137442502866634
15,0.00011776157252540997
16,1.95029638874189e-05
17,5.911209748532542e-05
18,3.625038701215999e-06
19,2.785026421747716e-05
20,8.835050426370117e-06
21,4.011766790767979e-06
22,2.073487721077072e-06
23,3.648228599217873e-07
24,2.071659110924884e-08
25,2.071659110924884e-08
26,2.071659110924884e-08
27,1.0890168766763964e-09
28,1.3173519164411118e-08
29,9.518132060293283e-09
30,3.258804781580693e-09
31,8.891340996797226e-10
32,2.1441479702843935e-09
33,1.0964384955514106e-10
34,2.0053292359989427e-10
35,2.2394175402951078e-10
36,1.9198864720237907e-11
37,1.2580159136632574e-11
38,6.828315690654563e-12
39,2.3590018827235326e-12
40,1.4921397450962104e-13
41,1.4921397450962104e-13
42,1.0373923942097463e-12
43,1.4921397450962104e-13
44,1.4921397450962104e-13
45,1.0658141036401503e-14
46,1.0658141036401503e-14
47,2.1316282072803006e-14
48,0.0
49,3.552713678800501e-15
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
