iteration,gbest_fitness
0,6.227166222791457
1,1.778629377526869
2,0.8844919423072
3,0.206904765379754
4,0.13342772530694447
5,0.5762901536073599
6,0.11638509752418003
7,0.054190916263518574
8,0.02771844482972341
9,0.02068326086344996
10,0.0038869047281338
11,0.0024389094731986916
12,0.002754482853731588
13,0.0014774106780350849
14,0.000575232967932493
15,3.612549813425403e-05
16,2.3570857486276964e-05
17,6.245945739635772e-05
18,4.689420155301605e-06
19,4.689420155301605e-06
20,4.453580281449376e-06
21,5.384409469399998e-07
22,5.268228271404496e-07
23,1.0660039038157265e-06
24,6.879787406433024e-08
25,3.452617747257136e-07
26,1.4723146435358103e-07
27,2.488818040546903e-10
28,2.7659496026899433e-08
29,1.6448687745196366e-08
30,3.3776501595639274e-09
31,7.458531570136984e-09
32,2.648661734383495e-09
33,1.5681642651088623e-09
34,1.9185364408258465e-10
35,6.519940143334679e-11
36,1.2435208418537513e-10
37,2.6268764941050904e-11
38,5.588418616753188e-12
39,2.575717417130363e-12
40,4.408917675391422e-12
41,4.227729277772596e-13
42,4.298783551348606e-13
43,5.258016244624741e-13
44,2.2737367544323206e-13
45,6.039613253960852e-14
46,4.263256414560601e-14
47,1.4210854715202004e-14
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
