iteration,gbest_fitness
0,1.3267308004273133
1,1.569911197693994
2,0.6880157990587463
3,2.9887566605522835
4,0.020573788217934208
5,0.016320150357366003
6,0.2846975673794816
7,0.01732503057223056
8,0.007787212611610528
9,0.009846455626593809
10,0.0018688837882976372
11,0.0001727454049955668
12,0.0015751259896426006
13,0.0010698005500024976
14,0.0004665594068313794
15,0.00019214259626920693
16,3.439508476787978e-05
17,0.0001222246441479058
18,1.0225670422414623e-05
19,2.2601133235156112e-05
20,1.1030210558260478e-06
21,1.3327439845056688e-06
22,1.2215424263217756e-06
23,2.0597980210368405e-08
24,9.683667201443313e-08
25,1.9913711568619874e-07
26,9.784614718455487e-08
27,1.54819019826391e-08
28,2.0052560500971595e-08
29,2.32242527431481e-08
30,2.736598503361165e-09
31,2.7250663947597786e-09
32,5.017319892886007e-10
33,2.0327206584624946e-10
34,4.013855914308806e-10
35,7.080558361849398e-11
36,1.4580336937797256e-11
37,4.937916742164816e-11
38,1.745092959026806e-11
39,4.050093593832571e-13
40,1.9397816686250735e-12
41,1.7053025658242404e-13
42,8.526512829121202e-14
43,5.009326287108706e-13
44,1.4921397450962104e-13
45,3.552713678800501e-14
46,3.552713678800501e-14
47,2.1316282072803006e-14
48,1.4210854715202004e-14
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
