iteration,gbest_fitness
0,588.5502129925314
1,148.3252022578645
2,57.40679558864401
3,45.14229873071689
4,26.417409917353027
5,15.445933981274028
6,13.29072088966987
7,13.29072088966987
8,12.756015109841487
9,12.231358991566733
10,10.290287230783987
11,9.703895511276205
12,8.804978120801735
13,8.40258346860167
14,8.265069562302816
15,7.745406513172042
16,7.7323453087479885
17,7.711692485502314
18,7.567686165783508
19,7.354828933371157
20,7.113360710801429
21,7.017907367210277
22,6.827701889750277
23,6.681367523632662
24,6.573269850469836
25,6.461448555132995
26,6.3535112127808135
27,6.299480835016822
28,6.279800722954201
29,6.276093283454558
30,6.23653915200075
