iteration,gbest_fitness
0,588.5502129925314
1,84.03982779670989
2,83.1330629131896
3,67.84533578068088
4,54.38960592085746
5,28.92944248329541
6,21.44275536845805
7,16.362970796413354
8,14.948336325865743
9,13.42461901846534
10,12.392334760529668
11,11.291690405473293
12,10.97741131810404
13,10.271641660564294
14,9.837535585844629
15,9.425293882742507
16,9.093537462149381
17,8.974521896140129
18,8.833761560662454
19,8.739371298925175
20,8.61405499440681
21,8.566204649199232
22,8.540136220223538
23,8.526247814851173
24,8.51436995189743
25,8.495350550349135
26,8.482807681979578
27,8.475177243477283
28,8.467559738198679
29,8.463888906506426
30,8.461618395345809
