iteration,gbest_fitness
0,994.3747255241466
1,90.78865541267174
2,75.72250380897735
3,42.95989904224892
4,25.46186670465488
5,25.46186670465488
6,18.67890527127753
7,15.541448489416693
8,13.762485971756432
9,12.98062447329746
10,12.486833937237385
11,11.161855525488253
12,9.608228105663056
13,9.45066945573418
14,9.32204254348234
15,8.682452754702558
16,8.681728100815139
17,8.472192805894444
18,8.460644900396066
19,8.411430068332592
20,8.358511016962616
21,8.31272234675922
22,8.29184357104685
23,8.27406581868729
24,8.259018925836774
25,8.248277475877504
26,8.230896120617816
27,8.22413069139846
28,8.221179522018089
29,8.21891559693405
30,8.217511898556902
