iteration,gbest_fitness
0,109.43376431343442
1,74.69389305329369
2,74.50708502690243
3,67.34168803514777
4,56.74885541616416
5,55.0725235186337
6,54.866592267269
7,36.29433791217395
8,34.64596189260851
9,29.733656695115485
10,27.409234129620856
11,25.94373086885166
12,24.48218343586862
13,23.88055439468974
14,23.786954181804347
15,23.579117612096397
16,23.28437496271465
17,22.995565022528083
18,22.74202710737582
19,22.542600292482476
20,21.913452806523296
21,21.787265787575024
22,21.601607858141733
23,21.44041509570019
24,21.43436935899672
25,21.42938207027626
26,21.380388429804654
27,21.331088787633917
28,21.284598267423476
29,21.248809706845577
30,21.204599309965914
