iteration,gbest_fitness
0,113.61257701307407
1,94.16987436329853
2,87.81169055860727
3,87.81169055860727
4,83.53016925296431
5,72.68213237660797
6,71.41787932729652
7,66.20555726663132
8,63.26232276294779
9,57.13939438564442
10,49.68025771148063
11,49.68025771148063
12,49.68025771148063
13,48.152678610929954
14,48.045041311660384
15,45.41879285911713
16,41.99535698695891
17,40.11364775631036
18,37.29098645841745
19,34.88156091468096
20,33.712264554578155
21,32.92907647327364
22,31.82819735185484
23,29.60470260939418
24,28.920776458299656
25,27.762199991031153
26,26.330042746989363
27,24.858863715102473
28,24.440384661108382
29,24.36274024034357
30,24.23003113722075
